susp_race,0
AMERICAN INDIAN/ALASKAN NATIVE,232
ASIAN / PACIFIC ISLANDER,2599
BLACK,27851
BLACK HISPANIC,3953
UNKNOWN,19937
WHITE,6979
WHITE HISPANIC,12397
